ZIPCODE,CITY,AREA,ROAD,SCOOP
105051,臺北市,松山區,八德路四段,　  72巷全
105050,臺北市,松山區,八德路四段,雙  74號至  90號
105051,臺北市,松山區,八德路四段,雙  92號至 136號
105034,臺北市,松山區,八德路四段,雙 140號至 160號
105053,臺北市,松山區,八德路四段,雙 162號至 238號
105056,臺北市,松山區,八德路四段,雙 240號至 456號
105057,臺北市,松山區,八德路四段,雙 458號至 600號
105057,臺北市,松山區,八德路四段,雙 608號至 648號
105057,臺北市,松山區,八德路四段,雙 652號至 676號
105057,臺北市,松山區,八德路四段,雙 680號至 690號
105057,臺北市,松山區,八德路四段,雙 696號至 758號
115027,臺北市,南港區,八德路四段,雙 768巷以上
111004,臺北市,士林區,力行街,全
100060,臺北市,中正區,三元街,單 147號以下
100053,臺北市,中正區,三元街,單 149號以上
100060,臺北市,中正區,三元街,雙 170號以下
100053,臺北市,中正區,三元街,雙 172號以上
108013,臺北市,萬華區,三水街,單 101號以下
108015,臺北市,萬華區,三水街,單 103號至 113號
108016,臺北市,萬華區,三水街,單 115號至 141號
108013,臺北市,萬華區,三水街,雙  74號以下
108015,臺北市,萬華區,三水街,雙  76號至  92號
108016,臺北市,萬華區,三水街,雙  94號至 126號
105609,臺北市,松山區,三民路,　   9號
105032,臺北市,松山區,三民路,單   7號以下
105030,臺北市,松山區,三民路,單  11號至  27號
105028,臺北市,松山區,三民路,　  29巷全
105030,臺北市,松山區,三民路,單  31號至  33號
105027,臺北市,松山區,三民路,　  35巷全
105030,臺北市,松山區,三民路,單  37號至  41號
105036,臺北市,松山區,三民路,　  43巷全
105030,臺北市,松山區,三民路,單  45號至  89號
105014,臺北市,松山區,三民路,單  91號至 129號
105013,臺北市,松山區,三民路,單 131號至 145號
105012,臺北市,松山區,三民路,單 147號以上
105052,臺北市,松山區,三民路,雙  60號以下
105069,臺北市,松山區,三民路,雙  62巷至  94號
105067,臺北市,松山區,三民路,　  96巷全
105064,臺北市,松山區,三民路,雙 102巷至 110巷
105070,臺北市,松山區,三民路,雙 112號至 134號
105072,臺北市,松山區,三民路,　 136巷全
105070,臺北市,松山區,三民路,雙 138號至 164號
105072,臺北市,松山區,三民路,雙 166巷至 180巷
112057,臺北市,北投區,三合街一段,全
112057,臺北市,北投區,三合街二段,全
115601,臺北市,南港區,三重路,連  19之   2號至之  14號
115602,臺北市,南港區,三重路,連  66號至  66之   3號
115010,臺北市,南港區,三重路,單全
115010,臺北市,南港區,三重路,雙  64號以下
116065,臺北市,文山區,三福街,全
116006,臺北市,文山區,下崙路,全
111012,臺北市,士林區,下樹林街,全
116009,臺北市,文山區,久康街,全
111028,臺北市,士林區,士東路,單  55號以下
111034,臺北市,士林區,士東路,單  57號至  87號
111048,臺北市,士林區,士東路,　  89巷全
111034,臺北市,士林區,士東路,單  91號至 125號
