"樟原","Zhangyuan"
"河川街","Hechuan St."
"長樂街","Changle St."
"榴屯二十街","Liutun 20th St."
"德美","Demei"
"南港街","Nangang St."
"朝寧","Chaoning"
"烏塗","Wutu"
"萬大街","Wanda St."
"烏土坪","Wutuping"
"大同2街","Datong 2nd St."
"永科南路","Yongke S. Rd."
"八德3街","Bade 3rd St."
"愛渾路","Aihun Rd."
"華城2街","Huacheng 2nd St."
"永安","Yong’an 2nd Ln."
"采舍路","Caishe Rd."
"義字巷","Yizi Ln."
"柑腳巷","Ganjiao Ln."
"溪州仔","Xizhouzai"
"太坑巷","Taikeng Ln."
"重信路","Chongxin Rd."
"南埔4街","Nanpu 4th St."
"尖子鹿","Jianzilu"
"萬和街","Wanhe St."
"法觀路","Faguan Rd."
"和光街","Heguang St."
"文正巷","Wenzheng Ln."
"精密園路","Jingmiyuan Rd."
"白水溪","Baishuixi"
"懷德街","Huaide St."
"永富","Yongfu"
"上墩東街","Shangdun E. St."
"立德1路","Lide 1st Rd."
"仁洲街","Renzhou St."
"復興新巷","Fuxing New Ln."
"開元路","Kaiyuan Rd."
"三豐路","Sanfeng Rd."
"太平二十街","Taiping 20th St."
"惠文6街","Huiwen 6th St."
"五權6街","Wuquan 6th St."
"白水湖","Baishuihu"
"快樂街","Kuaile St."
"梅林3街","Meilin 3rd St."
"民忠街","Minzhong St."
"華亭街","Huating St."
"南華2街","Nanhua 2nd St."
"二儀街","Eryi St."
"寶山7街","Baoshan 7th St."
"橋子頭","Qiaozitou"
"泰宏新村","Taihong Vil."
"粵江街","Yuejiang St."
"三結東路","Sanjie E. Rd."
"建龍3街","Jianlong 3rd St."
"興寧街","Xingning St."
"忠誠北路","Zhongcheng N. Rd."
"檨仔腳","Shezaijiao"
"仕田路","Shitian Rd."
"水源3街","Shuiyuan 3rd St."
"磚廠街","Zhuanchang St."
"羅浮","Luofu"
"榴屯1街","Liutun 1st St."
"科加1路","Kejia 1st Rd."
"里智路","Lizhi Rd."
"南強路","Nanqiang Rd."
"至聖路","Zhisheng Rd."
"泰和","Taihe"
"天文街","Tianwen St."
"新強街","Xinqiang St."
"菜寮村","Cailiao Vil."
"國富11街","Guofu 11th St."
"敦和街","Dunhe St."
"新嶺3街","Xinling 3rd St."
"樂仁路","Leren Rd."
"本部落","Benbuluo"
"精科1路","Jingke 1st Rd."
"安順3街","Anshun 3rd St."
"珍珠5路","Zhenzhu 5th Rd."
"西埔巷","Xipu Ln."
"貴州街","Guizhou St."
"廣義街","Guangyi St."
"新華北路","Xinhua N. Rd."
"石川路","Shichuan Rd."
"強國路","Qiangguo Rd."
"義大十街","Yida 10th St."
"柑樹路","Ganshu Rd."
"廣興村","Guangxing Vil."
"中興嶺","Zhongxingling"
"天仁南街","Tianren S. St."
"華興巷","Huaxing Ln."
"東汕路","Dongshan Rd."
"仁義新村","Renyi Vil."
"前庄路","Qianzhuang Rd."
"無底潭","Wuditan"
"龍城1街","Longcheng 1st St."
"霧霜巷","Wushuang Ln."
"明華1路","Minghua 1st Rd."
"西13街","W. 13th St."
"神圳路","Shenzun Rd."
"天順街","Tianshun St."
"惠中6街","Huizhong 6th St."
"山興巷","Shanxing Ln."
"文南路","Wennan Rd."
"大聖2街","Dasheng 2nd St."
"三福路","Sanfu Rd."
"孝倫路","Xiaolun Rd."
"老佛路","Laofo Rd."
"長昇街","Changsheng St."
"偉成街","Weicheng St."
"英祥街","Yingxiang St."
"鎮榮街","Zhenrong St."
"故宮路","Gugong Rd."
"金同春路","Jintongchun Rd."
"佳里","Jialixing"
"下桂山","Xiaguishan"
"高碼2路","Gaoma 2nd Rd."
"龍善街","Longshan St."
"麻園肚","Mayuandu"
"中2路","Central 2nd Rd."
"苓雅市","Lingya Market"
"金山1街","Jinshan 1st St."
"過鞍巷","Guo’an Ln."
"第五橫街","Zhonghe Ln.,5th Side St."
"富貴巷","Fugui Ln."
"仁6街","Ren 6th St."
"虎盤","Hupan"
"中央路","Zhongyang Rd."
"中營","Zhongying"
"鎮慶街","Zhenqing St."
"福幼街","Fuyou St."
"龍新路","Longxin Rd."
"北平里","Beiping Vil."
"中山11路","Zhongshan 11th Rd."
"隧道口巷","Suidaokou Ln."
"大宅街","Dazhai St."
"大南路","Danan Rd."
"刀石坑","Daoshikeng"
"竹塘街","Zhutang St."
"莊2街","Zhuang 2nd St."
"糖部路","Tangbu Rd."
"南竹路","Nanzhu Rd."
"角樹巷","Jiaoshu Ln."
"縣政9路","Xianzheng 9th Rd."
"太原9街","Taiyuan 9th St."
"松達街","Songda St."
"瑞豐市","Ruifeng Market"
"力行1街","Lixing 1st St."
"群義路","Qunyi Rd."
"和平南街","Heping S. St."
"華中3街","Huazhong 3rd St."
"火山","Huoshan"
"大學42街","Daxue 42nd St."
"新前墩","Xinqiandun"
"敦化路","Dunhua Rd."
"百世新村","Baishi Vil."
"五福街","Wufu St."
"南屯路","Nantun Rd."
"仁愛8街","Ren’ai 8th St."
"進興","Jinxing"
"柑子巷","Ganzi Ln."
"過溝廈厝","Guogouxiacuo"
"西庄里","Xizhuang Vil."
"府緯街","Fuwei St."
"鼎昌街","Dingchang St."
"卡拉","Kala"
"六和街","Liuhe St."
"寶樹路","Baoshu Rd."
"廈北路","Xiabei Rd."
"大埕","Dacheng"
"南勢竹","Nanshizhu"
"天水西6街","Tianshui W. 6th St."
"茄塘","Jiatang"
"水月臺路","Shuiyuetai Rd."
"吉利新屯","Jilixintun"
"嘉漁街","Jiayu St."
"仕隆南路","Shilong S. Rd."
"中崙路","Zhonglun Rd."
"蘭州5街","Lanzhou 5th St."
"南社","Nanshe"
"東城村","Dongcheng Vil."
"成功9街","Chenggong 9th St."
"泗湖","Sihu"
"管厝街","Guancuo St."
"德平街","Deping St."
"北陽1街","Beiyang 1st St."
"學8街","Xue 8th St."
"鹽讚","Yanzan"
"楓平路","Fengping Rd."
"後角街","Houjiao St."
"大墩路","Dadun Rd."
"上大","Shangda"
"松樹","Songshu"
"許厝","Xucuo"
"公英2街","Gongying 2nd St."
"和平3路","Heping 3rd Rd."
"水林路","Shuilin Rd."
"工業1路","Gongye 1st Rd."
"長福路","Changfu Rd."
"北興巷","Beixing Ln."
"土地公坑","Tudigongkeng"
"本工3路","Bengong 3rd Rd."
"飛鳳","Feifeng"
"五常1街","Wuchang 1st St."
"暖暖街","Nuannuan St."
"松竹北2街","Songzhu N. 2nd St."
"竹子山腳","Zhuzi Shanjiau"
"學成街","Xuecheng St."
"十三份","Shisanfen"
"民享十街","Minxiang 10th St."
"丹裡街","Danli St."
"中庸1路","Zhongyong 1st Rd."
"高城9街","Gaocheng 9th St."
"溝頭巷","Goutou Ln."
"東泰1街","Dongtai 1st St."
"工學北路","Gongxue N. Rd."
"大富巷","Dafu Ln."
"龍祥路","Longxiang Rd."
"雅歌家園","Yage Jiayuan"
"名福街","Mingfu St."
"嘉興街","Jiaxing St."
"德興","Dexing"
"將軍澳","Jiangjun’ao"
"淡金路","Danjin Rd."
"府中街","Fuzhong St."
"石曹子坑","Shicaozikeng"
"水聳淒坑","Shuisongqikeng"
"土地公埔","Tudigong Pu"
"廣山","Guangshan"
"自由3路","Ziyou 3rd Rd."
"沿河街","Yanhe St."
"工學5街","Gongxue 5th St."
"中社4街","Zhongshe 4th St."
"惠民莊","Huiminzhuang"
"漁光路","Yuguang Rd."
"海順街","Haishun St."
"彰濱東11路","Zhangbindong 11th Rd."
"忠孝東街","Zhongxiao E. St."
"文12街","Wen 72nd St."
"北環西路","Beihuan W. Rd."
"通港路","Tonggang Rd."
"反水","Fanshui"
"育平8街","Yuping 8th St."
"豐興路","Fengxing Rd."
"上庄路","Shangzhuang Rd."
"賴厝東巷","Laicuo E. Ln."
"和意路","Heyi Rd."
"慶豐4街","Qingfeng 4th St."
"延祥路","Yanxiang Rd."
"環館路","Huanguan Rd."
"滇池街","Dianchi St."
"保生十街","Baosheng 10th St."
"光和北路","Guanghe N. Rd."
"南仁路","Nanren Rd."
"德山街","Deshan St."
"涼州街","Liangzhou St."
"臥龍街","Wolong St."
"下斗崙","Xiadoulun"
"保成8街","Baocheng 8th St."
"華西街","Huaxi St."
"虎坑巷","Hukeng Ln."
"太新路","Taixin Rd."
"佳民","Jiamin"
"港壽街","Gangshou St."
"潭富2街","Tanfu 2nd St."
"鹿興巷","Luxing Ln."
"站後南路","Zhanhou S. Rd."
"三鶯路","Sanying Rd."
"民禮路","Minli Rd."
"龍山1街","Longshan 1st St."
"光復5路","Guangfu 5th Rd."
"宏慶新屯","Hongqingxintun"
"延壽街","Yanshou St."
"新5路","Xin 5th Rd."
"意誠","Yicheng 1st Ln."
"黃厝路","Huangcuo Rd."
"景興路","Jingxing Rd."
"環美7街","Huanmei 7th St."
"竹山","Zhushan"
"新西路","Xinxi Rd."
"勝利7街","Shengli 7th St."
"思北路","Sibei Rd."
"新安3街","Xin’an 3rd St."
"頂厝路","Dingcuo Rd."
"新正5街","Xinzheng 5th St."
"北成路","Beicheng Rd."
"竹圍內","Zhuweinei"
"中美1街","Zhongmei 1st St."
"松6街","Song 6th St."
"貿5路","Mao 5th Rd."
"精誠12街","Jingcheng 12th St."
"大墩西2街","Dadun W. 2nd St."
"竹工","Zhugong 3rd Ln."
"幸福19街","Xingfu 19th St."
"蔡厝巷","Caicuo Ln."
"鼎仁街","Dingren St."
"深水路","Shenshui Rd."
"竹巷","Zhu Ln."
"福壽十巷","Fushou 10th Ln."
"金沙山莊","Jinsha Shanzhuang"
"中港街","Zhonggang St."
"安西路","Anxi Rd."
"白地街","Baidi St."
"連雲街","Lianyun St."
"慈惠4街","Cihui 4th St."
"成功街","Chenggong St."
"涵碧巷","Hanbi Ln."
"玉水橋","Yushuiqiao"
"山葉新城","Shanye Xincheng"
"新興社區","Xinxing Community"
"中路","Zhonglu Ln."
"鳳尾厝","Fengweicuo"
"大魯閣路","Daluge Rd."
"武罕7路","Wuhan 7th Rd."
"竹崙","Zhulun"
"阿考崎口","Akaoqikou"
"東關路","Dongguan Rd."
"高坪26街","Gaoping 26th St."
"饒平南路","Raoping S. Rd."
"蓮潭路","Liantan Rd."
"南窩","Nanwo"
"西1街","W. 1st St."
"園十街","Yuan 10th St."
"東香路","Dongxiang Rd."
"板仔龍","Banzailong"
"鳳東6街","Fengdong 6th St."
"一甲路","Yijia Rd."
"土地公前","Front of Tudigong"
"歸仁13路","Guiren 13th Rd."
"五福5街","Wufu 5th St."
"斗工1路","Dougong 1st Rd."
"長億2街","Changyi 2nd St."
"東田洋","Dongtianyang"
"下三崙","Xiasanlun"
"湧興路","Yongxing Rd."
"興農東路","Xingnong E. Rd."
"山西南1街","Shanxi S. 1st St."
"國華1街","Guohua 1st St."
"坡仔頭","Pozaitou"
"桃科6路","Taoke 6th Rd."
"埔圳巷","Puzun Ln."
"華榮巷","Huarong Ln."
"五權西1街","Wuquan W. 1st St."
"魚寮","Yuliao"
"大山2路","Dashan 2nd Rd."
"德旺巷","Dewang Ln."
"德光巷","Deguang Ln."
"僑愛6路","Qiao’ai 6th Rd."
"學成路","Xuecheng Rd."
"上崙","Shanglun"
"卡普","Kapu"
"弘揚","Hongyang"
"國光8街","Guoguang 8th St."
"大眾巷","Dazhong Ln."
"恆南路","Hengnan Rd."
"平通路","Pingtong Rd."
"小東西路","Xiaodong W. Rd."
"天保厝","Tianbaocuo"
"和平3街","Heping 3rd St."
"工業1街","Gongye 1st St."
"司法新村","Sifa Vil."
"科工8路","Kegong 8th Rd."
"番田路","Fantian Rd."
"府中路","Fuzhong Rd."
"新祥街","Xinxiang St."
"龍祥街","Longxiang St."
"嘉興路","Jiaxing Rd."
"庵下","Anxia"
"大眾1街","Dazhong 1st St."
"長青1街","Changqing 1st St."
"篤行新城","Duxing Xincheng"
"禾豐5路","Hefeng 5th Rd."
"五光3街","Wuguang 3rd St."
"文英山莊","Wenying Shanzhuang"
"光福9街","Guangfu 9th St."
"大中2路","Dazhong 2nd Rd."
"高爾富路","Gao’erfu Rd."
"油車","Youche"
"頂新7街","Dingxin 7th St."
"瑞吉街","Ruiji St."
"蕃社","Fanshe"
"楠仔湖","Nanzaihu"
"營盤","Yingpan"
"榮安3街","Rong’an 3rd St."
"竹寮","Zhuliao"
"車店東巷","Chedian E. Ln."
"下三屯","Xiasantun"
"明義4街","Mingyi 4th St."
"工建西路","Gongjian W. Rd."
"墩豐路","Dunfeng Rd."
"厝興路","Cuoxing Rd."
"智腦路","Zhinao Rd."
"寶樹街","Baoshu St."
"通灣里","Tongwan Vil."
"六和路","Liuhe Rd."
"光復西路","Guangfu W. Rd."
"志昇街","Zhisheng St."
"米市","Mishiyuan"
"明清街","Mingqing St."
"國順街","Guoshun St."
"龍安路","Long’an Rd."
"新結庄","Xinjiezhuang"
"二林巷","Erlin Ln."
"民主4路","Minzhu 4th Rd."
"五福路","Wufu Rd."
"立清街","Liqing St."
"立道路","Lidao Rd."
"孝武路","Xiaowu Rd."
"中崙街","Zhonglun St."
"院前街","Yuanqian St."
"上田街","Shangtian St."
"蚶西港","Hanxigang"
"上山","Shangshan"
"草溪西路","Caoxi W. Rd."
"文程路","Wencheng Rd."
"富國巷","Fuguo Ln."
"竹東巷","Zhudong Ln."
"永達巷","Yongda Ln."
"近光路","Jinguang Rd."
"隘口1街","Aikou 1st St."
"崇善15街","Chongshan 15th St."
"古賀街","Guhe St."
"中街","Zhongjie Ln."
"天祥7街","Tianxiang 7th St."
"興善巷","Xingshan Ln."
"成功路","Chenggong Rd."
"西勢巷","Xishi Ln."
"華隆街","Hualong St."
"安西街","Anxi St."
"溪厝村","Xicuo Vil."
"赤東2街","Chidong 2nd St."
"寶君路","Baojun Rd."
"得福街","Defu St."
"頂半天","Dingbantian"
"媽祖宮1街","Mazugong 1st St."
"福德東路","Fude E. Rd."
"西川2路","Xichuan 2nd Rd."
"慈暉三村","Cihui 3rd Vil."
"新3街","Xin 3rd St."
"臺麗街","Taili St."
"延平巷","Yanping Ln."
"藤坪","Tengping"
"農場","Farm"
"竹後巷","Zhuhou Ln."
"順風路","Shunfeng Rd."
"文化13街","Wenhua 13th St."
"北盛街","Beisheng St."
"上彎","Shangwan"
"店仔","Dianzai"
"中港路","Zhonggang Rd."
"德信街","Dexin St."
"市場路","Market Rd."
"道德巷","Daode Ln."
"世祥街","Shixiang St."
"自強4路","Ziqiang 4th Rd."
"調和巷","Diaohe Ln."
"天祐路","Tianyou Rd."
"鎮4街","Zhen 4th St."
"研發5路","Yanfa 5th Rd."
"府洋北街","Fuyang N. St."
"溝心路","Gouxin Rd."
"湖濱3路","Hubin 3rd Rd."
"上庄","Shangzhuang"
"楠都東街","Nandu E. St."
"前金2街","Qianjin 2nd St."
"北辰路","Beichen Rd."
"上庫","Shangku"
"裕永路","Yuyong Rd."
"中西","West Central 1st Ln."
"寶樹別莊","Baoshu Biezhuang"
"苗中路","Miaozhong Rd."
"新西街","Xinxi St."
"武盛巷","Wusheng Ln."
"中興里","Zhongxing Vil."
"過智街","Guozhi St."
"黃厝街","Huangcuo St."
"延壽路","Yanshou Rd."
"大源23街","Dayuan 23rd St."
"南州路","Nanzhou Rd."
"松浦","Songpu"
"慈光街","Ciguang St."
"繁華路","Fanhua Rd."
"墘溪路","Qianxi Rd."
"吉星新村","Jixing Vil."
"臥龍路","Wolong Rd."
"湳底巷","Nandi Ln."
"魚塘","Yutang"
"澄照街","Chengzhao St."
"員崠子","Yuandongzi"
"進士路","Jinshi Rd."
"丸山6路","Wanshan 6th Rd."
"西勢尾","Xishiwei"
"魚塭","Yuwen"
"忠工路","Zhonggong Rd."
"北5路","N. 5th Rd."
"十三南路","Shisan S. Rd."
"向心南路","Xiangxin S. Rd."
"蘭州3街","Lanzhou 3rd St."
"遼寧3街","Liaoning 3rd St."
"南眉巷","Nanmei Ln."
"中正西路","Zhongzheng W. Rd."
"鼓山2路","Gushan 2nd Rd."
"嘉政6街","Jiazheng 6th St."
"永存巷","Yongcun Ln."
"廣興里","Guangxing Vil."
"籠埔路","Longpu Rd."
"聖德路","Shengde Rd."
"香山1路","Xiangshan 1st Rd."
"光復街","Guangfu St."
"本原街","Benyuan St."
"菜園街","Caiyuan St."
"南貴街","Nangui St."
"綏遠1街","Suiyuan 1st St."
"溫州1街","Wenzhou 1st St."
"關爺東路","Guanye E. Rd."
"農園路","Nongyuan Rd."
"力行路","Lixing Rd."
"桃科11路","Taoke 11th Rd."
"中蘭","Zhonglan"
"雨農路","Yunong Rd."
"長壽西街","Changshou W. St."
"大智街","Dazhi St."
"清陽路","Qingyang Rd."
"石螺仔","Shiluozai"
"保甲路","Baojia Rd."
"西海街","Xihai St."
"文賢1路","Wenxian 1st Rd."
"裕農新村","Yunong Vil."
"七賢街","Qixian St."
"興仁街","Xingren St."
"吉泰路","Jitai Rd."
"莊敬7街","Zhuangjing 7th St."
"正義巷","Zhengyi Ln."
"太平12街","Taiping 12th St."
"大成2街","Dacheng 2nd St."
"基金2路","Jijin 2nd Rd."
"田心1街","Tianxin 1st St."
"三榮6路","Sanrong 6th Rd."
"禮義巷","Liyi Ln."
"昌平東2路","Changping E. 2nd Rd."
"進學1街","Jinxue 1st St."
"大新新村","Daxin Vil."
"安通路","Antong Rd."
"圓山路","Yuanshan Rd."
"顯法巷","Xianfa Ln."
"大學46街","Daxue 46th St."
"文中3街","Wenzhong 3rd St."
"新興2路","Xinxing 2nd Rd."
"佳林","Jialin"
"短竹巷","Duanzhu Ln."
"安農9路","Annong 9th Rd."
"工建路","Gongjian Rd."
"三重埔","Sanchongpu"
"竹圍子","Zhuweizi"
"南灣","Nanwan"
"忠義2街","Zhongyi 2nd St."
"上河路","Shanghe Rd."
"南火","Nanhuo"
"忠3街","Zhong 3rd St."
"紅羅罩","Hongluozhao"
"阿南巷","Anan Ln."
"瓊徑路","Qiongjing Rd."
"久采","Jiucai"
"德安1街","De’an 1st St."
"內崎內","Neiqinei"
"榮安二村","Rong’an 2nd Vil."
"新興農場","Xinxing Farm"
"街頂巷","Jieding Ln."
"市中1路","Shizhong 1st Rd."
"琉球路","Liuqiu Rd."
"光榮5街","Guangrong 5th St."
"高崗路","Gaogang Rd."
"大學東路","Daxue E. Rd."
"鎮舍","Zhenshe"
"國光巷","Guoguang Ln."
"三重坑","Sanchongkeng"
"新溪尾","Xinxiwei"
"清華巷","Qinghua Ln."
"民生村","Minsheng Vil."
"港安街","Gang’an St."
"養魚路","Yangyu Rd."
"中智街","Zhongzhi St."
"竹圍","Zhuwei 2nd Ln."
"保民巷","Baomin Ln."
"僑和街","Qiaohe St."
"四座屋","Sizuowu"
"工業二十路","Gongye 20th Rd."
"中隆2路","Zhonglong 2nd Rd."
"青田1街","Qingtian 1st St."
"府番","Fufan"
"土地公後","Tudigonghou"
"龍米路","Longmi Rd."
"經園街","Jingyuan St."
"成章3街","Chengzhang 3rd St."
"郡平路","Junping Rd."
"光峰路","Guangfeng Rd."
"福德4街","Fude 4th St."
"平愛巷","Ping’ai Ln."
"草衙3路","Caoya 3rd Rd."
"明仁巷","Mingren Ln."
"竹坑","Zhukeng"
"上厝","Shangcuo"
"菜公路","Caigong Rd."
"惠民街","Huimin St."
"麗山街","Lishan St."
"新豐里","Xinfeng Vil."
"海興街","Haixing St."
"興濱路","Xingbin Rd."
"興西路","Xingxi Rd."
"六甲8街","Liujia 8th St."
"糖東1街","Tangdong 1st St."
"田寮仔","Tianliaozai"
"省府路","Shengfu Rd."
"土地公山","Tudigong Shan"
"大隱11路","Dayin 11th Rd."
"文匯街","Wenhui St."
"龍社3街","Longshe 3rd St."
"祥園街","Xiangyuan St."
"西汕路","Xishan Rd."
"福地1街","Fudi 1st St."
"牛眠","Niumian 5th Ln."
"匠寮後巷","Jiangliao Back Ln."
"中洲巷","Zhongzhou Ln."
"孔宅7街","Kongzhai 7th St."
"世居巷","Shiju Ln."
"龍壽路","Longshou Rd."
"地方法院","District Court"
"忠承路","Zhongcheng Rd."
"宏平路","Hongping Rd."
"茄苳城仔","Jiadong Chengzai"
"向榮路","Xiangrong Rd."
"正誠街","Zhengcheng St."
"安林2街","Anlin 2nd St."
"光華西巷","Guanghua W. Ln."
"六十九橫巷","Liushi 9th Side Ln."
"味王街","Weiwang St."
"中正4路","Zhongzheng 4th Rd."
"忠誠路","Zhongcheng Rd."
"陶然莊","Taoranzhuang"
"成功3街","Chenggong 3rd St."
"通燕路","Tongyan Rd."
"新基東街","Xinji E. St."
"育賢街","Yuxian St."
"大榮3路","Darong 3rd Rd."
"科尾","Kewei"
"桃米巷","Taomi Ln."
"廠東2路","Changdong 2nd Rd."
"縣政二十路","Xianzheng 20th Rd."
"郡界","Junjie"
"華江北街","Huajiang N. St."
"大廟5街","Damiao 5th St."
"滿平街","Manping St."
"村南路","Cunnan Rd."
"永吉8街","Yongji 8th St."
"秀川街","Xiuchuan St."
"土地公崎","Tudigong Qi"
"赤祥街","Chixiang St."
"文昌東11街","Wenchang E. 11th St."
"海平街","Haiping St."
"仁澤路","Renze Rd."
"民治18街","Minzhi 18th St."
"水碓5路","Shuidui 5th Rd."
"吉興街","Jixing St."
"佳興","Jiaxing"
"臺林街","Tailin St."
"景豐街","Jingfeng St."
"科工18路","Kegong 18th Rd."
"來興街","Laixing St."
"翰林別莊","Hanlin Biezhuang"
"鳳崗路","Fenggang Rd."
"天宮街","Tiangong St."
"中泰街","Zhongtai St."
"美興街","Meixing St."
"五權3街","Wuquan 3rd St."
"北糖4街","Beitang 4th St."
"興豐山莊","Xingfeng Shanzhuang"
"包容街","Baorong St."
"舊宗路","Jiuzong Rd."
"北龍岡","Beilonggang"
"花師街","Huashi St."
"洲子路","Zhouzi Rd."
"站東路","Zhandong Rd."
"鰲峰路","Aofeng Rd."
"鳥眉坑","Niaomeikeng"
"龍川","Longchuan"
"糖部","Tangbu"
"學子李","Xuezili"
"正義南路","Zhengyi S. Rd."
"新福1路","Xinfu 1st Rd."
"社邊路","Shebian Rd."
"保南2路","Baonan 2nd Rd."
"南平西街","Nanping W. St."
"頂角巷","Dingjiao Ln."
"昌明巷","Changming Ln."
"大旋巷","Daxuan Ln."
"達邦","Dabang"
"安順東2街","Anshun E. 2nd St."
"園","Yuan 1st Ln."
"樹林路","Shulin Rd."
"尾張巷","Weizhang Ln."
"大眾3街","Dazhong 3rd St."
"中山4路","Zhongshan 4th Rd."
"港埠路","Gangbu Rd."
"精誠8街","Jingcheng 8th St."
"慈濟路","Ciji Rd."
"廣東2街","Guangdong 2nd St."
"長福東街","Changfu E. St."
"澄新2街","Chengxin 2nd St."
"民順街","Minshun St."
"中興","Zhongxing 9th Ln."
"黃埔五村","Huangpu 5th Vil."
"上山6路","Shangshan 6th Rd."
"合作1街","Hezuo 1st St."
"船帆路","Chuanfan Rd."
"青埔3街","Qingpu 3rd St."
"寶湖路","Baohu Rd."
"神清路","Shenqing Rd."
"本工5路","Bengong 5th Rd."
"饒平西路","Raoping W. Rd."
"建中巷","Jianzhong Ln."
"長苗街","Changmiao St."
"濱1路","Bin 1st Rd."
"橫圳街","Hengzun St."
"西勢坑","Xishikeng"
"省北路","Shengbei Rd."
"路文化新屯","Wenhuaxintun"
"忠3路","Yangdong Camp"
"保義路","Baoyi Rd."
"機場路","Jichang Rd."
"泰康街","Taikang St."
"竹香北路","Zhuxiang N. Rd."
"中英","Zhongying"
"田北路","Tianbei Rd."
"下后垵","Xiahou’an"
"新興2街","Xinxing 2nd St."
"廣溝厝","Guanggoucuo"
"修德巷","Xiude Ln."
"鼎安路","Ding’an Rd."
"磺溪","Huangxi"
"裕敬1街","Yujing 1st St."
"崇善3街","Chongshan 3rd St."
"旗南2路","Qinan 2nd Rd."
"聖景路","Shengjing Rd."
"枋樹腳","Fangshujiao"
"蘇濱路","Subin Rd."
"關東路","Guandong Rd."
"嘉新新村","Jiaxin Vil."
"金京林","Jinjinglin"
"金和路","Jinhe Rd."
"衙松3街","Yasong 3rd St."
"敦化南路","Dunhua S. Rd."
"華峰2街","Huafeng 2nd St."
"瑞陽街","Ruiyang St."
"興仁路","Xingren Rd."
"七賢路","Qixian Rd."
"西海路","Xihai Rd."
"蚯蚓坑","Qiuyinkeng"
"圓山街","Yuanshan St."
"宏福巷","Hongfu Ln."
"忠愛新村","Zhong’ai Vil."
"安通街","Antong St."
"明雅街","Mingya St."
"太順2街","Taishun 2nd St."
"民新路","Minxin Rd."
"松林","Songlin"
"長春巷","Changchun Ln."
"自覺巷","Zijue Ln."
"灣愛街","Wan’ai St."
"松東","Songdong"
"聖德街","Shengde St."
"廣東街","Guangdong St."
"松村","Songcun Ln."
"中華","Zhonghua 1st Ln."
"六分寮","Liufenliao"
"孝威1路","Xiaowei 1st Rd."
"孝6街","Xiao 6th St."
"河流巷","Heliu Ln."
"欣欣街","Xinxin St."
"金川巷","Jinchuan Ln."
"大智路","Dazhi Rd."
"全家福新村","Quanjiafu Vil."
"關仁路","Guanren Rd."
"農區","Nongqu 4th Ln."
"廣益巷","Guangyi Ln."
"大吉東路","Daji E. Rd."
"北端街","Beiduan St."
"大唐","Datang"
"竹銑櫃","Zhuxiangui"
"大華8街","Dahua 8th St."
"前寮路","Qianliao Rd."
"統埔路","Tongpu Rd."
"光復路","Guangfu Rd."
"竹圍後","Zhuweihou"
"竹南","Zhunan"
"義林5街","Yilin 5th St."
"下庄路","Xiazhuang Rd."
"國民街","Guomin St."
"洲子街","Zhouzi St."
"中泰路","Zhongtai Rd."
"美興路","Meixing Rd."
"惠安路","Hui’an Rd."
"舊宗街","Jiuzong St."
"崙美路","Lunmei Rd."
"慶安北路","Qing’an N. Rd."
"石潭北2街","Shitan N. 2nd St."
"普騰街","Puteng St."
"國建2路","Guojian 2nd Rd."
"公正街","Gongzheng St."
"上埔","Shangpu"
"介義街","Jieyi St."
"仁林路","Renlin Rd."
"巡府路","Xunfu Rd."
"正義南街","Zhengyi S. St."
"大溪3街","Daxi 3rd St."
"環堤路","Huanti Rd."
"景福巷","Jingfu Ln."
"豐盛社區","Fengsheng Community"
"站東街","Zhandong St."
"新富1街","Xinfu 1st St."
"上海1街","Shanghai 1st St."
"工業11路","Gongye 11th Rd."
"育賢路","Yuxian Rd."
"貢旗","Gongqi 2nd Ln."
"麻油寮","Mayouliao"
"大墩7街","Dadun 7th St."
"松頂街","Songding St."
"國賢3街","Guoxian 3rd St."
"海豐里","Haifeng Vil."
"鳳厝巷","Fengcuo Ln."
"福田南街","Futian S. St."
"吉興路","Jixing Rd."
"海平路","Haiping Rd."
"南明街","Nanming St."
"上坪","Shangping"
"重忠路","Chongzhong Rd."
"大覺路","Dajue Rd."
"柯子湖","Kezihu"
"向榮街","Xiangrong St."
"仁德十街","Rende 10th St."
"大明巷","Daming Ln."
"儲蓄新村","Chuxu Vil."
"美崙山新村","Meilunshan Vil."
"忠勇5街","Zhongyong 5th St."
"光信巷","Guangxin Ln."
"大埔3路","Dapu 3rd Rd."
"義士路","Yishi Rd."
"聖王崎下","Shengwang Qixia"
"富光巷","Fuguang Ln."
"車站路","Chezhan Rd."
"大成19街","Dacheng 19th St."
"大橋3街","Daqiao 3rd St."
"禮仁路","Liren Rd."
"工東2路","Gongdong 2nd Rd."
"忠誠街","Zhongcheng St."
"守時街","Shoushi St."
"中正4街","Zhongzheng 4th St."
"暗潭","Antan"
"高鐵6路","Gaotie 6th Rd."
"過溝仔","Guogouzai"
"歸仁1路","Guiren 1st Rd."
"林堡路","Linbao Rd."
"德賢","Dexian"
"竹圍巷","Zhuwei Ln."
"安平巷","Anping Ln."
"富裕9街","Fuyu 9th St."
"平峰路","Pingfeng Rd."
"林尾路","Linwei Rd."
"校前街","Xiaoqian St."
"興西街","Xingxi St."
"海興路","Haixing Rd."
"龜灣","Guiwan"
"水上巷","Shuishang Ln."
"亞太路","Yatai Rd."
"惠民路","Huimin Rd."
