"樟原","Zhangyuan"
"臺區","Taiqu"
"文武巷","Wenwu Ln."
"陜西2街","Shanxi 2nd St."
"大學36街","Daxue 36th St."
"臺新街","Taixin St."
"疏洪西路","Shuhong W. Rd."
"油車巷","Youche Ln."
"法治路","Fazhi Rd."
"友直街","Youzhi St."
"精忠新村","Jingzhong Vil."
"大禹街","Dayu St."
"有水巷","Youshui Ln."
"埔市","Pushi St."
"龍興三莊","Longxing Sanzhuang"
"庫志","Kuzhi"
"路墘","Luqian"
"八卦路","Bagua Rd."
"潭墘","Tanqian"
"中利街","Zhongli St."
"保竹","Baozhu"
"大竹坑","Dazhukeng"
"楊新北路","Yangxin N. Rd."
"舊港路","Jiugang Rd."
"河頭","Hetou"
"向陽路","Xiangyang Rd."
"北平4街","Beiping 4th St."
"天水西4街","Tianshui W. 4th St."
"汽車路","Qiche Rd."
"珩厝","Hengcuo"
"尚惠路","Shanghui Rd."
"大竹圍","Dazhuwei"
"港十街","Gang 10th St."
"桂竹圍","Guizhuwei"
"仁慈街","Renci St."
"天仁","Tianren"
"武山巷","Wushan Ln."
"北陽3街","Beiyang 3rd St."
"碼崙路","Malun Rd."
"太順路","Taishun Rd."
"忠貞路","Zhongzhen Rd."
"龍岩路","Longyan Rd."
"姑爺","Guye"
"精美1街","Jingmei 1st St."
"裕華2街","Yuhua 2nd St."
"永義街","Yongyi St."
"八分寮路","Bafenliao Rd."
"義理街","Yili St."
"館前路","Guanqian Rd."
"勇7路","Yangdong Camp"
"草衙1路","Caoya 1st Rd."
"第六橫街","6th Side St."
"明華街","Minghua St."
"萬壽巷","Wanshou Ln."
"冷水坑","Lengshuikeng"
"榮和巷","Ronghe Ln."
"興通路","Xingtong Rd."
"清豐路","Qingfeng Rd."
"太和街","Taihe St."
"區中路","Quzhong Rd."
"崁前","Kanqian"
"吉利8街","Jili 8th St."
"自治南街","Zizhi S. St."
"鳳興路","Fongsing Rd."
"光遠東路","Guangyuan E. Rd."
"龍洋巷","Longyang Ln."
"龍鳳1街","Longfeng 1st St."
"中崙寮路","Zhonglunliao Rd."
"埔心","Puxin"
"協進街","Xiejin St."
"宏泰街","Hongtai St."
"培德新屯","Peidexintun"
"新生五十巷","Xinsheng 50th Ln."
"正福8街","Zhengfu 8th St."
"下莊光武路","Xiazhuangguangwu Rd."
"忠平路","Zhongping Rd."
"東泰3街","Dongtai 3rd St."
"永科東路","Yongke E. Rd."
"重吉路","Chongji Rd."
"工業13路","Gongye 13th Rd."
"楓子林","Fengzilin"
"埔後","Puhou"
"達興","Daxing"
"東亞南路","Dongya S. Rd."
"鎮川","Zhenchuan 7th Ln."
"一心市","Yixin Market"
"新庄1路","Xinzhuang 1st Rd."
"十三股巷","Shisangu Ln."
"金山街","Jinshan St."
"豐祥路","Fengxiang Rd."
"溝皂","Gouzao"
"裕榮路","Yurong Rd."
"八股","Bagu"
"雙城路","Shuangcheng Rd."
"楠泰街","Nantai St."
"大城北","Dachengbei"
"大坡塘","Dapotang"
"東社巷","Dongshe Ln."
"英德街","Yingde St."
"豐西街","Fengxi St."
"二塹路","Erqian Rd."
"埔尾","Puwei"
"順安街","Shun’an St."
"光明8街","Guangming 8th St."
"隴西","Longxi 2nd Ln."
"十一分","Shiyifen"
"東2路","E. 2nd Rd."
"八張2街","Bazhang 2nd St."
"寶新5街","Baoxin 5th St."
"中正6路","Zhongzheng 6th Rd."
"中和","Zhonghe 1st Ln."
"糖廠街","Tangchang St."
"武訓街","Wuxun St."
"寶山路","Baoshan Rd."
"外西巷","Waixi Ln."
"協同街","Xietong St."
"大榮5路","Darong 5th Rd."
"欣欣","Xinxin"
"榮和市","Ronghe Market"
"育平6街","Yuping 6th St."
"樹和路","Shuhe Rd."
"聖亭路","Shengting Rd."
"古合","Guhe"
"國富27街","Guofu 27th St."
"明誠3路","Mingcheng 3rd Rd."
"慶苑巷","Qingyuan Ln."
"三部5路","Sanbu 5th Rd."
"國中街","Guozhong St."
"中棲路","Zhongqi Rd."
"興竹街","Xingzhu St."
"忠愛","Zhong’ai"
"福林街","Fulin St."
"慶豐2街","Qingfeng 2nd St."
"忠慶","Zhongqing"
"南崗3路","Nangang 3rd Rd."
"水碓7路","Shuidui 7th Rd."
"五興路","Wuxing Rd."
"後壁厝","Houbicuo"
"市政南2路","Shizheng S. 2nd Rd."
"永科環路","Yongkehuan Rd."
"上竹圍","Shangzhuwei"
"湖西","Huxi"
"水碓路","Shuidui Rd."
"九甲路","Jiujia Rd."
"後昌路","Houchang Rd."
"九芎湖","Jiuqionghu"
"頂窯溝","Dingyaogou"
"塭港","Wengang"
"龍船窩","Longchuanwo"
"南海6街","Nanhai 6th St."
"油車店","Youchedian"
"外庄","Waizhuang"
"銀店街","Yindian St."
"大興19街","Daxing 19th St."
"環美5街","Huanmei 5th St."
"湖裡","Huli"
"經建7路","Jingjian 7th Rd."
"石碑巷","Shibei Ln."
"河南東4街","Henan E. 4th St."
"八德南路","Bade S. Rd."
"溪底巷","Xidi Ln."
"新安1街","Xin’an 1st St."
"勝利5街","Shengli 5th St."
"華山巷","Huashan Ln."
"藝術南街","Yishu S. St."
"下崙路","Xialun Rd."
"孝4路","Xiao 4th Rd."
"義民路","Yimin Rd."
"太坪","Taiping"
"地政街","Dizheng St."
"本洲3街","Benzhou 3rd St."
"深水","Shenshui"
"厚北路","Houbei Rd."
"金山16街","Jinshan 16th St."
"泰成路","Taicheng Rd."
"精忠七村","Jingzhong 7th Vil."
"杭州3街","Hangzhou 3rd St."
"永華街","Yonghua St."
"西安街","Xi’an St."
"下莊中興路","Xiazhuangzhongxing Rd."
"裕敬3街","Yujing 3rd St."
"秀中街","Xiuzhong St."
"植福路","Zhifu Rd."
"巨輪路","Julun Rd."
"振英街","Zhenying St."
"頂濃路","Dingnong Rd."
"高上路","Gaoshang Rd."
"腳帛寮","Jiaoboliao"
"秀山11路","Xiushan 11th Rd."
"大溪路","Daxi Rd."
"頂大埔","Dingdapu"
"渭水路","Weishui Rd."
"五權7街","Wuquan 7th St."
"錦州1街","Jinzhou 1st St."
"富臺街","Futai St."
"忠5路","Yangdong Camp"
"永興巷","Yongxing Ln."
"教忠街","Jiaozhong St."
"瓦厝埔","Wacuopu"
"大新街","Daxin St."
"南崁路","Nankan Rd."
"仁山巷","Renshan Ln."
"功湖路","Gonghu Rd."
"世傑路","Shijie Rd."
"下坑巷","Xiakeng Ln."
"橋新2路","Qiaoxin 2nd Rd."
"孔宅十街","Kongzhai 10th St."
"楓樹西街","Fengshu W. St."
"介仁街","Jieren St."
"援港路","Yuangang Rd."
"六安街","Liu’an St."
"筏路","Falutou"
"大豐2街","Dafeng 2nd St."
"正大路","Zhengda Rd."
"前過山","Qianguoshan"
"中華橫","Zhonghua 4th Side Ln."
"文自路","Wenzi Rd."
"深按","Shen’an"
"愛鄉","Aixiang Rd."
"國慶十街","Guoqing 10th St."
"百畝","Baimu"
"南洲街","Nanzhou St."
"虎山3街","Hushan 3rd St."
"某旦巷","Moudan Ln."
"宏林街","Honglin St."
"新光巷","Xinguang Ln."
"大城巷","Dacheng Ln."
"臺電新屯","Taidianxintun"
"中港巷","Zhonggang Ln."
"華夏二村","Huaxia 2nd Vil."
"平區","Pingqu Rd."
"藝術路","Yishu Rd."
"宮中街","Gongzhong St."
"公埔子","Gongpuzi"
"顏厝巷","Yancuo Ln."
"南進7街","Nanjin 7th St."
"中州寮","Zhongzhouliao"
"夏墅","Xiashu"
"榮譽街","Rongyu St."
"景新巷","Jingxin Ln."
"后寮路","Houliao Rd."
"中華3街","Zhonghua 3rd St."
"堤塘港路","Titanggang Rd."
"三元2街","Sanyuan 2nd St."
"行忠路","Xingzhong Rd."
"橫1街","Heng 1st St."
"頂東路","Dingdong Rd."
"政通4街","Zhengtong 4th St."
"烏勢巷","Wushi Ln."
"賢正街","Xianzheng St."
"警光街","Jingguang St."
"裕德1街","Yude 1st St."
"明興巷","Mingxing Ln."
"館前南路","Guanqian S. Rd."
"鎮2街","Zhen 2nd St."
"中興東路","Zhongxing E. Rd."
"西藏街","Xizang St."
"善志街","Shanzhi St."
"觀山街","Guanshan St."
"北明路","Beiming Rd."
"光明13街","Guangming 13th St."
"龍仁路","Longren Rd."
